OM System M.Zuiko Digital ED 90mm F3.5 Macro IS Pro	om-system-olympus	2023-02-08	lenses	MicroFourThirds	90mm
Canon EOS R8	canon	2023-02-07	slrs		
Canon EOS R50	canon	2023-02-07	slrs		
Canon RF 24-50mm F4.5-6.3 IS STM	canon	2023-02-07	lenses	CanonRF	24-50mm
Canon RF-S 55-210mm F5.0-7.1 IS STM	canon	2023-02-07	lenses	CanonRF|CanonRFS	55-210mm
Sigma 50mm F1.4 DG DN Art	sigma	2023-02-07	lenses	LeicaSL|SonyFE	50mm
Sony FE 20-70mm F4 G	sony	2023-01-17	lenses	SonyE|SonyFE	20-70mm
Sigma 60-600mm F4.5-6.3 DG DN OS	sigma	2023-01-12	lenses	LeicaSL|SonyE	60-600mm
Nikon Nikkor Z 85mm F1.2 S	nikon	2023-01-04	lenses	NikonZ	85mm
Nikon Nikkor Z 26mm F2.8	nikon	2023-01-04	lenses	NikonZ	26mm
Panasonic Lumix DC-S5II	panasonic	2023-01-04	slrs		
Panasonic Lumix DC-S5IIX	panasonic	2023-01-04	slrs		
Panasonic LUMIX S 14-28mm F4-5.6 Macro	panasonic	2023-01-04	lenses	LeicaSL	14-28mm
